kanakanji,unicode,maxStrokeID,strokeDirections,positionDirections,charClass
ア,0x30a2,2,td,t,katakana
ィ,0x30a3,2,sd,s,katakana
イ,0x30a4,2,sd,s,katakana
ゥ,0x30a5,3,ddd,so,katakana
ウ,0x30a6,3,ddd,so,katakana
ェ,0x30a7,3,rdr,rs,katakana
エ,0x30a8,3,rdr,rs,katakana
ォ,0x30a9,3,rds,pd,katakana
オ,0x30aa,3,rds,pd,katakana
カ,0x30ab,2,ts,p,katakana
ガ,0x30ac,4,tstt,prp,katakana
キ,0x30ad,3,rrd,dp,katakana
ギ,0x30ae,5,rrdtt,dprp,katakana
ク,0x30af,2,sd,d,katakana
グ,0x30b0,4,sdtt,dpp,katakana
ケ,0x30b1,3,srs,dr,katakana
ゲ,0x30b2,5,srstt,drpp,katakana
コ,0x30b3,2,tr,d,katakana
ゴ,0x30b4,4,trtt,dpp,katakana
サ,0x30b5,3,rdd,pr,katakana
ザ,0x30b6,5,rddtt,prrp,katakana
シ,0x30b7,3,ttp,sd,katakana
ジ,0x30b8,5,ttptt,sdpp,katakana
ス,0x30b9,2,dt,t,katakana
ズ,0x30ba,4,dttt,tpp,katakana
セ,0x30bb,2,rt,p,katakana
ゼ,0x30bc,4,rttt,prp,katakana
ソ,0x30bd,2,ts,r,katakana
ゾ,0x30be,4,tstt,rup,katakana
タ,0x30bf,3,sdt,dd,katakana
ダ,0x30c0,5,sdttt,ddpp,katakana
チ,0x30c1,3,srd,sp,katakana
ヂ,0x30c2,5,srdtt,sprp,katakana
ッ,0x30c3,3,dts,rr,katakana
ツ,0x30c4,3,dts,rr,katakana
ヅ,0x30c5,5,dtstt,rrup,katakana
テ,0x30c6,3,rrs,sr,katakana
デ,0x30c7,5,rrstt,srpp,katakana
ト,0x30c8,2,dt,d,katakana
ド,0x30c9,4,dttt,dpp,katakana
ナ,0x30ca,2,rd,p,katakana
ニ,0x30cb,2,rr,d,katakana
ヌ,0x30cc,2,dt,t,katakana
ネ,0x30cd,4,tddt,str,katakana
ノ,0x30ce,1,s,,katakana
ハ,0x30cf,2,st,r,katakana
バ,0x30d0,4,sttt,rpp,katakana
パ,0x30d1,3,sto,rr,katakana
ヒ,0x30d2,2,rt,u,katakana
ビ,0x30d3,4,rttt,urp,katakana
ピ,0x30d4,3,rto,ur,katakana
フ,0x30d5,1,d,,katakana
ブ,0x30d6,3,dtt,rp,katakana
プ,0x30d7,2,do,r,katakana
ヘ,0x30d8,1,r,,katakana
ベ,0x30d9,3,rtt,pp,katakana
ペ,0x30da,2,ro,r,katakana
ホ,0x30db,4,rddt,psr,katakana
ボ,0x30dc,6,rddttt,psrup,katakana
ポ,0x30dd,5,rddto,psru,katakana
マ,0x30de,2,tt,t,katakana
ミ,0x30df,3,rrt,dd,katakana
ム,0x30e0,2,tt,t,katakana
メ,0x30e1,2,st,s,katakana
モ,0x30e2,3,rrt,dp,katakana
ャ,0x30e3,2,rd,p,katakana
ヤ,0x30e4,2,rd,p,katakana
ュ,0x30e5,2,tr,d,katakana
ユ,0x30e6,2,tr,d,katakana
ョ,0x30e7,3,trr,dd,katakana
ヨ,0x30e8,3,trr,dd,katakana
ラ,0x30e9,2,rd,s,katakana
リ,0x30ea,2,dd,r,katakana
ル,0x30eb,2,dt,p,katakana
レ,0x30ec,1,t,,katakana
ロ,0x30ed,3,dtr,od,katakana
ヮ,0x30ee,2,dd,o,katakana
ワ,0x30ef,2,dd,o,katakana
ヰ,0x30f0,4,rdrd,rsp,katakana
ヱ,0x30f1,3,tdr,ts,katakana
ヲ,0x30f2,3,rrs,dp,katakana
ン,0x30f3,2,tp,d,katakana
ヴ,0x30f4,5,dddtt,sorp,katakana
ヵ,0x30f5,2,ts,p,katakana
ヶ,0x30f6,3,srs,dr,katakana
ヷ,0x30f7,4,ddtt,orp,katakana
ヸ,0x30f8,6,rdrdtt,rsprp,katakana
ヹ,0x30f9,5,tdrtt,tspp,katakana
ヺ,0x30fa,5,rrstt,dppp,katakana
・,0x30fb,1,q,,katakana
ー,0x30fc,1,r,,katakana
ヽ,0x30fd,1,t,,katakana
ヾ,0x30fe,3,ttt,rp,katakana
㐬,0x342c,7,drttsdt,srrsrr,kanji
㓁,0x34c1,4,drsr,orr,kanji
㔾,0x353e,2,tt,o,kanji
一,0x4e00,1,r,,kanji
丁,0x4e01,2,rd,r,kanji
七,0x4e03,2,rt,p,kanji
万,0x4e07,3,rds,tu,kanji
丈,0x4e08,3,rst,ps,kanji
三,0x4e09,3,rrr,ds,kanji
上,0x4e0a,3,drr,ds,kanji
下,0x4e0b,3,rdt,rt,kanji
不,0x4e0d,4,rsdt,rst,kanji
与,0x4e0e,3,rdr,us,kanji
丐,0x4e10,4,rdrt,rdl,kanji
丑,0x4e11,4,tdrr,rsd,kanji
且,0x4e14,5,dtrrr,odds,kanji
丕,0x4e15,5,rsdtr,rdrs,kanji
世,0x4e16,5,rddrt,prdq,kanji
丗,0x4e17,5,rdddr,prrs,kanji
丘,0x4e18,5,sdrdr,strs,kanji
丙,0x4e19,5,rdtdt,dopd,kanji
丞,0x4e1e,6,tddstr,tsrls,kanji
両,0x4e21,6,rdtdtd,dopdr,kanji
並,0x4e26,8,tsrddtsr,rsrrsrs,kanji
丨,0x4e28,1,d,,kanji
个,0x4e2a,3,std,dd,kanji
中,0x4e2d,4,drrd,odp,kanji
丱,0x4e31,5,tddrd,prsu,kanji
串,0x4e32,7,drrdrrd,odsodu,kanji
丶,0x4e36,1,t,,kanji
丸,0x4e38,3,dtt,st,kanji
丹,0x4e39,4,dttr,ots,kanji
主,0x4e3b,5,trdrr,srss,kanji
丼,0x4e3c,5,rrddt,dprs,kanji
丿,0x4e3f,1,d,,kanji
乂,0x4e42,2,st,l,kanji
乃,0x4e43,2,st,l,kanji
久,0x4e45,3,sst,dd,kanji
之,0x4e4b,3,ddr,sd,kanji
乍,0x4e4d,5,srdrr,drdd,kanji
乎,0x4e4e,5,stsrd,srsp,kanji
乏,0x4e4f,4,lddr,ssd,kanji
