kana,unicode,svgFile,pngFile,strokeCount
帝,0x5e1d,05e1d.svg,05e1d.png,9
帥,0x5e25,05e25.svg,05e25.png,9
師,0x5e2b,05e2b.svg,05e2b.png,10
席,0x5e2d,05e2d.svg,05e2d.png,10
帯,0x5e2f,05e2f.svg,05e2f.png,10
帰,0x5e30,05e30.svg,05e30.png,10
帳,0x5e33,05e33.svg,05e33.png,11
帶,0x5e36,05e36.svg,05e36.png,11
帷,0x5e37,05e37.svg,05e37.png,11
常,0x5e38,05e38.svg,05e38.png,11
帽,0x5e3d,05e3d.svg,05e3d.png,12
幀,0x5e40,05e40.svg,05e40.png,12
幃,0x5e43,05e43.svg,05e43.png,12
幄,0x5e44,05e44.svg,05e44.png,12
幅,0x5e45,05e45.svg,05e45.png,12
幇,0x5e47,05e47.svg,05e47.png,12
幌,0x5e4c,05e4c.svg,05e4c.png,13
幎,0x5e4e,05e4e.svg,05e4e.png,13
幔,0x5e54,05e54.svg,05e54.png,14
幕,0x5e55,05e55.svg,05e55.png,13
幗,0x5e57,05e57.svg,05e57.png,14
幟,0x5e5f,05e5f.svg,05e5f.png,15
幡,0x5e61,05e61.svg,05e61.png,15
幢,0x5e62,05e62.svg,05e62.png,15
幣,0x5e63,05e63.svg,05e63.png,15
幤,0x5e64,05e64.svg,05e64.png,15
干,0x5e72,05e72.svg,05e72.png,3
平,0x5e73,05e73.svg,05e73.png,5
年,0x5e74,05e74.svg,05e74.png,6
幵,0x5e75,05e75.svg,05e75.png,6
并,0x5e76,05e76.svg,05e76.png,6
幸,0x5e78,05e78.svg,05e78.png,8
幹,0x5e79,05e79.svg,05e79.png,13
幺,0x5e7a,05e7a.svg,05e7a.png,3
幻,0x5e7b,05e7b.svg,05e7b.png,4
幼,0x5e7c,05e7c.svg,05e7c.png,5
幽,0x5e7d,05e7d.svg,05e7d.png,9
幾,0x5e7e,05e7e.svg,05e7e.png,12
广,0x5e7f,05e7f.svg,05e7f.png,3
庁,0x5e81,05e81.svg,05e81.png,5
広,0x5e83,05e83.svg,05e83.png,5
庄,0x5e84,05e84.svg,05e84.png,6
庇,0x5e87,05e87.svg,05e87.png,7
床,0x5e8a,05e8a.svg,05e8a.png,7
序,0x5e8f,05e8f.svg,05e8f.png,7
底,0x5e95,05e95.svg,05e95.png,8
庖,0x5e96,05e96.svg,05e96.png,8
店,0x5e97,05e97.svg,05e97.png,8
庚,0x5e9a,05e9a.svg,05e9a.png,8
府,0x5e9c,05e9c.svg,05e9c.png,8
庠,0x5ea0,05ea0.svg,05ea0.png,9
度,0x5ea6,05ea6.svg,05ea6.png,9
座,0x5ea7,05ea7.svg,05ea7.png,10
庫,0x5eab,05eab.svg,05eab.png,10
庭,0x5ead,05ead.svg,05ead.png,10
庵,0x5eb5,05eb5.svg,05eb5.png,11
庶,0x5eb6,05eb6.svg,05eb6.png,11
康,0x5eb7,05eb7.svg,05eb7.png,11
庸,0x5eb8,05eb8.svg,05eb8.png,11
廁,0x5ec1,05ec1.svg,05ec1.png,12
廂,0x5ec2,05ec2.svg,05ec2.png,12
廃,0x5ec3,05ec3.svg,05ec3.png,12
廈,0x5ec8,05ec8.svg,05ec8.png,13
廉,0x5ec9,05ec9.svg,05ec9.png,13
廊,0x5eca,05eca.svg,05eca.png,12
廏,0x5ecf,05ecf.svg,05ecf.png,14
廐,0x5ed0,05ed0.svg,05ed0.png,14
廓,0x5ed3,05ed3.svg,05ed3.png,14
廖,0x5ed6,05ed6.svg,05ed6.png,14
廚,0x5eda,05eda.svg,05eda.png,15
廛,0x5edb,05edb.svg,05edb.png,15
廝,0x5edd,05edd.svg,05edd.png,15
廟,0x5edf,05edf.svg,05edf.png,15
廠,0x5ee0,05ee0.svg,05ee0.png,15
廡,0x5ee1,05ee1.svg,05ee1.png,15
廢,0x5ee2,05ee2.svg,05ee2.png,15
廣,0x5ee3,05ee3.svg,05ee3.png,15
廨,0x5ee8,05ee8.svg,05ee8.png,16
廩,0x5ee9,05ee9.svg,05ee9.png,16
廬,0x5eec,05eec.svg,05eec.png,19
廰,0x5ef0,05ef0.svg,05ef0.png,20
廱,0x5ef1,05ef1.svg,05ef1.png,21
廳,0x5ef3,05ef3.svg,05ef3.png,25
廴,0x5ef4,05ef4.svg,05ef4.png,3
延,0x5ef6,05ef6.svg,05ef6.png,8
廷,0x5ef7,05ef7.svg,05ef7.png,7
廸,0x5ef8,05ef8.svg,05ef8.png,8
建,0x5efa,05efa.svg,05efa.png,9
廻,0x5efb,05efb.svg,05efb.png,9
廼,0x5efc,05efc.svg,05efc.png,9
廾,0x5efe,05efe.svg,05efe.png,3
廿,0x5eff,05eff.svg,05eff.png,4
弁,0x5f01,05f01.svg,05f01.png,5
弃,0x5f03,05f03.svg,05f03.png,7
弄,0x5f04,05f04.svg,05f04.png,7
弉,0x5f09,05f09.svg,05f09.png,10
弊,0x5f0a,05f0a.svg,05f0a.png,15
弋,0x5f0b,05f0b.svg,05f0b.png,3
弌,0x5f0c,05f0c.svg,05f0c.png,4
弍,0x5f0d,05f0d.svg,05f0d.png,5
式,0x5f0f,05f0f.svg,05f0f.png,6
弐,0x5f10,05f10.svg,05f10.png,6
弑,0x5f11,05f11.svg,05f11.png,12
弓,0x5f13,05f13.svg,05f13.png,3
弔,0x5f14,05f14.svg,05f14.png,4
引,0x5f15,05f15.svg,05f15.png,4
弖,0x5f16,05f16.svg,05f16.png,4
弗,0x5f17,05f17.svg,05f17.png,5
弘,0x5f18,05f18.svg,05f18.png,5
